k,Hit@k,Recall@k,MRR,nDCG@k,num_queries,dataset,retriever
1,0.05555555555555555,0.03333333333333333,0.1137962962962963,0.05555555555555555,180,SC1,Dense
3,0.16666666666666666,0.13518518518518519,0.1137962962962963,0.10154771092143106,180,SC1,Dense
5,0.21666666666666667,0.21666666666666667,0.1137962962962963,0.1389297145803899,180,SC1,Dense
1,0.15,0.12407407407407407,0.21685185185185185,0.15,180,SC1,BM25
3,0.2611111111111111,0.23657407407407408,0.21685185185185185,0.20466677116495455,180,SC1,BM25
5,0.32222222222222224,0.32222222222222224,0.21685185185185185,0.24245263319149582,180,SC1,BM25
1,0.0,0.0,0.0,0.0,1064,SC2,Dense
3,0.0,0.0,0.0,0.0,1064,SC2,Dense
5,0.0,0.0,0.0,0.0,1064,SC2,Dense
1,0.0,0.0,0.0,0.0,1064,SC2,BM25
3,0.0,0.0,0.0,0.0,1064,SC2,BM25
5,0.0,0.0,0.0,0.0,1064,SC2,BM25
